cluster,cluster_id,cluster_label,metric,metric_label,clients_compared,pre_mean,post_mean,mean_change,relative_change,paired_effect_size,p_value,q_value,is_new_pattern,direction
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_active_days_30d,число дней с заправками за 30 дней,2045,2.859429949425595,2.3138620176464335,-0.5455679317791617,-0.19079604726416044,-0.22081379375946442,5.862210156599223e-23,9.159703369686285e-23,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_weekend_share,доля заправок в выходные,9487,0.3610756165516202,0.30073558323305744,-0.06034003331856273,-0.1671119027499781,-0.18906843482402083,1.939261103884963e-74,4.215785008445572e-74,False,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fine_regions_count,число регионов со штрафами,8556,0.3854604955586723,0.5094670406732118,0.1240065451145395,0.321710127349909,0.16774279657484203,1.446025585361811e-53,2.892051170723622e-53,False,рост
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_weekend_share,доля заправок в выходные,7811,0.3389283679421443,0.28997613015740514,-0.048952237784739144,-0.1444324005156611,-0.1586872950675048,3.7643283640199164e-44,7.239093007730608e-44,False,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fine_regions_count,число регионов со штрафами,10302,0.6336633663366337,0.7583964278780819,0.12473306154144827,0.19684436274509803,0.13721043838606914,1.0844568509208317e-43,2.0082534276311697e-43,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fine_regions_count,число регионов со штрафами,2398,0.5025020850708924,0.6555462885738115,0.1530442035029191,0.3045643153526971,0.18762613227452088,8.422472736893448e-20,1.2761322328626437e-19,False,рост
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_small_fill_share,доля небольших заправок до 20 л,9487,0.07583064664435664,0.09314189862193015,0.017311251977573505,0.22828833385481645,0.09156201732970377,5.614453914103677e-19,8.256549873681877e-19,False,рост
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fine_count_30d,число штрафов за 30 дней,8556,0.31407904090376376,0.3658378559668273,0.05175881506306351,0.16479550788912023,0.07438488982919847,6.3838033141674695e-12,9.119719020239241e-12,False,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_tx_count_30d,число заправок за 30 дней,2045,3.0326556586395146,2.6090145636228343,-0.42364109501668074,-0.13969310818714287,-0.15060401489822114,1.2739265708519857e-11,1.769342459516647e-11,False,снижение
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_weekend_share,доля заправок в выходные,1671,0.3385504015872379,0.28887301071832366,-0.04967739086891431,-0.1467355839367197,-0.15896113384550736,1.0714712512935753e-10,1.4479341233696963e-10,False,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fine_amount_30d,"сумма штрафов за 30 дней, руб.",8556,304.45589012276895,353.0633209342033,48.60743081143438,0.15965344205307996,0.0625287069518949,7.55893488513134e-09,9.945966954120184e-09,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fine_count_30d,число штрафов за 30 дней,2398,0.4894489700321044,0.5934293070312217,0.10398033699911734,0.21244367312142257,0.0987057503320508,1.4259672636604751e-06,1.8281631585390707e-06,False,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_small_fill_share,доля небольших заправок до 20 л,1671,0.07673643588639834,0.09707523793683318,0.02033880205043485,0.26504752032717144,0.10378072993442823,2.3333987220700836e-05,2.9167484025876048e-05,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fine_amount_30d,"сумма штрафов за 30 дней, руб.",2398,476.13307893564274,546.116325198535,69.98324626289231,0.14698253357933927,0.06481873020190065,0.0015219018100048364,0.0018559778170790689,False,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fine_count_30d,число штрафов за 30 дней,2045,0.9702247379174063,1.0635696821515892,0.09334494423418302,0.09620961060480539,0.06414209381789543,0.00376413062771696,0.004481107890139238,False,рост
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_small_fill_share,доля небольших заправок до 20 л,7811,0.10806228339237574,0.11493985443519779,0.006877571042822048,0.0636445096930766,0.03249242458125195,0.004094001647705519,0.00476046703221572,False,рост
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fine_count_30d,число штрафов за 30 дней,10302,0.6180340032391636,0.6467612873819352,0.028727284142771613,0.04648172105775688,0.0276641897188253,0.004996241303794245,0.005677546936129824,False,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fine_amount_30d,"сумма штрафов за 30 дней, руб.",2045,916.4952915564188,983.3262421600936,66.83095060367465,0.0729201243251129,0.04453202140404456,0.044160021658640546,0.04906669073182283,False,рост
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fine_speeding_share,доля штрафов за превышение скорости,1896,0.7872645527081049,0.7690321050726353,-0.01823244763546959,-0.02315923862283897,-0.04261718568206321,0.06365383024118774,0.0691889459143345,False,снижение
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fine_speeding_share,доля штрафов за превышение скорости,691,0.8015340490144087,0.8238328698771109,0.02229882086270215,0.027820179180312397,0.058749988946880306,0.12296112432761482,0.1308097067315051,False,рост
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fine_amount_30d,"сумма штрафов за 30 дней, руб.",10302,574.989426444659,587.7800210807525,12.790594636093621,0.02224492146782925,0.011923644203887609,0.22621642337776862,0.23564210768517566,False,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fine_speeding_share,доля штрафов за превышение скорости,987,0.8216436760198905,0.8114130860186459,-0.01023059000124457,-0.012451370709505595,-0.028043005490619603,0.3785245851580057,0.38624957669184257,False,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fine_speeding_share,доля штрафов за превышение скорости,3551,0.8297898049398102,0.8312807568498108,0.0014909519100006023,0.0017967826323303047,0.004001966384161066,0.8115239487178378,0.8115239487178378,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_avg_liters,средний объём одной заправки,14,14.173571428571432,35.498481714119215,21.324910285547784,1.5045544725982407,0.0,,,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_avg_price,средняя цена литра,14,62.6457142857143,67.38942452704224,4.743710241327959,0.07572282151166584,0.0,,,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_weekend_share,доля заправок в выходные,14,0.2857142857142857,0.3218367941582227,0.03612250844393702,0.12642877955377957,0.0,,,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_night_share,доля ночных заправок,14,0.0,0.2095547309833024,0.2095547309833024,,0.0,,,False,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_small_fill_share,доля небольших заправок до 20 л,14,0.8571428571428571,0.12417748917748916,-0.7329653679653679,-0.8551262626262627,0.0,,,False,снижение
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_large_fill_share,доля крупных заправок от 50 л,14,0.0,0.14040096807953947,0.14040096807953947,,0.0,,,False,рост
