offence_month,region_name,fine_count,active_clients,total_fine_amount_rub,average_fine_amount_rub,month_name,violations_per_fined_client
2026-07,Омская область,198,113,184650.0,932.5757575757576,Июль,1.752212389380531
2026-07,Тюменская область,210,112,191550.0,912.1428571428571,Июль,1.875
2026-07,Самарская область,300,174,258100.0,860.3333333333334,Июль,1.7241379310344827
2026-07,Республика Башкортостан,209,114,180100.0,861.7224880382776,Июль,1.8333333333333333
2026-08,Москва,151,138,580500.0,3844.3708609271525,Август,1.0942028985507246
2026-08,Московская область,2532,1441,2077400.0,820.4581358609795,Август,1.757113115891742
2026-08,Санкт-Петербург,1492,848,1277200.0,856.0321715817695,Август,1.759433962264151
2026-08,Свердловская область,1172,651,1277500.0,1090.0170648464164,Август,1.8003072196620584
2026-08,Республика Татарстан,1035,535,884316.66,854.412231884058,Август,1.9345794392523366
2026-08,Челябинская область,269,189,214500.0,797.3977695167287,Август,1.4232804232804233
2026-08,Нижегородская область,434,283,388650.0,895.5069124423964,Август,1.5335689045936396
2026-08,Новосибирская область,698,348,661300.0,947.4212034383954,Август,2.0057471264367814
2026-08,Ленинградская область,497,370,398500.0,801.8108651911468,Август,1.3432432432432433
2026-08,Кемеровская область,247,163,266800.0,1080.161943319838,Август,1.5153374233128833
2026-08,Красноярский край,207,122,196800.0,950.7246376811594,Август,1.6967213114754098
2026-08,Краснодарский край,10,8,9750.0,975.0,Август,1.25
2026-08,Омская область,158,93,142950.0,904.746835443038,Август,1.6989247311827957
2026-08,Тюменская область,126,78,99750.0,791.6666666666666,Август,1.6153846153846154
2026-08,Самарская область,234,149,205600.0,878.6324786324786,Август,1.570469798657718
2026-08,Республика Башкортостан,187,106,152350.0,814.7058823529412,Август,1.7641509433962264
