month,region_code,region_name,fuel_sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub,month_name,fine_count,fined_clients,registration_region_name,client_days,clients_observed,client_month_exposure,violations_per_1000_clients,sold_volume_per_client
2026-04,77,Москва,14686,4028,607517.58,43273916.5399,71.23072313380626,41.36712379136593,2946.6101416246765,Апрель,3101,1357,Москва,147940,4988,4931.333333333333,628.8360146005137,123.19539948627822
2026-04,78,Санкт-Петербург,8937,2446,352411.36,25056807.4849,71.10102093445569,39.4328477117601,2803.715730659058,Апрель,1468,705,Санкт-Петербург,88124,2980,2937.4666666666667,499.75035177704143,119.97118605601197
2026-05,02,Республика Башкортостан,976,223,34666.68,2194901.6463,63.31444621463608,35.51913934426229,2248.874637602459,Май,173,85,Республика Башкортостан,9018,295,290.9032258064516,594.6994899090708,119.1691151031271
2026-05,16,Республика Татарстан,6828,1526,245231.81,15891690.8965,64.80273051240783,35.915613649677795,2327.429832527827,Май,1450,683,Республика Татарстан,56202,1837,1812.967741935484,799.7936016511868,135.26540176506174
2026-05,23,Краснодарский край,2296,549,88582.87,6268360.733,70.7626737878328,38.5813893728223,2730.1222704703832,Май,492,202,Краснодарский край,21372,692,689.4193548387096,713.6440202133633,128.48909648137752
2026-05,24,Красноярский край,2159,544,77864.95,5349468.3473000005,68.70187866684562,36.06528485409912,2477.7528241315426,Май,257,158,Красноярский край,23131,752,746.1612903225806,344.4295534131685,104.35404651766028
2026-05,42,Кемеровская область,2244,526,82326.8,5526600.4153,67.13002831763168,36.68752228163993,2462.8344096702317,Май,212,131,Кемеровская область,20430,664,659.0322580645161,321.68379833578075,124.92074400391581
2026-05,47,Ленинградская область,2839,715,107089.68,7566928.6294,70.65973704842521,37.720915815427965,2665.349992743924,Май,661,268,Ленинградская область,26556,864,856.6451612903226,771.6147010091881,125.01054676909173
2026-05,50,Московская область,11839,2812,470499.37,32896118.1101,69.91745410859956,39.74147901005153,2778.62303489315,Май,2604,1064,Московская область,104039,3381,3356.0967741935483,775.9013446880497,140.19243235709686
2026-05,52,Нижегородская область,4685,1193,171730.41999999998,11790830.646300001,68.65895189856289,36.655372465314834,2516.7194549199576,Май,532,291,Нижегородская область,44177,1439,1425.0645161290322,373.3164316273174,120.50711954184304
2026-05,54,Новосибирская область,3693,954,140416.25,9557080.803,68.06249848575217,38.02227186569185,2587.890821283509,Май,764,358,Новосибирская область,36064,1176,1163.3548387096773,656.7213842058563,120.69941631543922
2026-05,55,Омская область,1681,423,61657.39,3948201.9723,64.03452971817327,36.67899464604402,2348.7221726948246,Май,304,144,Омская область,15542,506,501.35483870967744,606.3569682151589,122.98153969888045
2026-05,63,Самарская область,1962,439,70803.58,4645781.6921,65.61506765759584,36.087451580020385,2367.8805770132517,Май,319,151,Самарская область,15883,520,512.3548387096774,622.6153749291695,138.19246867720204
2026-05,66,Свердловская область,7650,1920,266873.11,18237421.128200002,68.33742495900019,34.88537385620915,2383.9766180653596,Май,1214,628,Свердловская область,75299,2454,2429.0,499.7941539728283,109.86953890489913
2026-05,72,Тюменская область,1456,375,53450.81,3671046.0711,68.68083142425718,36.71072115384615,2521.3228510302197,Май,267,128,Тюменская область,14267,464,460.2258064516129,580.1499964954089,116.14040162613021
2026-05,74,Челябинская область,4735,1147,164317.68,10679465.7218,64.99279762104723,34.702783526927135,2255.430986652587,Май,426,255,Челябинская область,42822,1392,1381.3548387096773,308.392882163374,118.9539974779319
2026-05,77,Москва,16619,4186,676483.17,48808335.084,72.15010993399879,40.70540766592455,2936.8996380046933,Май,4096,1643,Москва,156048,5067,5033.806451612903,813.6983492258792,134.38799773146724
2026-05,78,Санкт-Петербург,8898,2454,346373.02,24871215.6788,71.80471411659026,38.9270645088784,2795.1467384580806,Май,2164,880,Санкт-Петербург,93231,3033,3007.451612903226,719.5460737308406,115.17160193497871
2026-06,02,Республика Башкортостан,512,171,18147.46,1161613.6748,64.00971126537819,35.4442578125,2268.77670859375,Июнь,156,74,Республика Башкортостан,8884,297,296.1333333333333,526.7897343538947,61.281382260243134
2026-06,16,Республика Татарстан,5545,1451,193363.16,12797927.029099999,66.18596339188912,34.87162488728585,2308.0120882055903,Июнь,1039,534,Республика Татарстан,55558,1865,1851.9333333333334,561.0353144461643,104.41151229345908
2026-06,23,Краснодарский край,1770,505,66307.65,4727044.5536,71.28958051748178,37.46194915254237,2670.6466404519774,Июнь,378,172,Краснодарский край,20937,702,697.9,541.6248746238716,95.01024502077661
2026-06,24,Красноярский край,2107,548,76862.66,5477807.6128,71.26747386572362,36.47966777408638,2599.8137697199813,Июнь,298,150,Красноярский край,22667,760,755.5666666666667,394.40596461816733,101.72849516918869
2026-06,42,Кемеровская область,2291,546,83287.63,5694801.1195,68.37511308101816,36.35426887821912,2485.7272455259713,Июнь,260,140,Кемеровская область,20056,673,668.5333333333333,388.91104906262467,124.58261368169127
2026-06,47,Ленинградская область,2456,670,89962.17,6421841.2949,71.3837971549597,36.629548045602604,2614.7562275651467,Июнь,606,269,Ленинградская область,26305,882,876.8333333333334,691.1233605778369,102.5989393651397
2026-06,50,Московская область,8881,2561,344821.55,24569617.1509,71.2531370237736,38.826883233870056,2766.537231269001,Июнь,2766,1092,Московская область,102121,3429,3404.0333333333333,812.5654860410689,101.29793578206245
2026-06,52,Нижегородская область,3855,1113,138720.52,9629914.4942,69.41953861043774,35.98457068741893,2498.032294215305,Июнь,635,352,Нижегородская область,43702,1469,1456.7333333333333,435.9068234863393,95.22712004027275
2026-06,54,Новосибирская область,3909,941,146191.22,10157137.3358,69.4784360907584,37.398623688922996,2598.397885853159,Июнь,973,405,Новосибирская область,35607,1203,1186.9,819.7826270115426,123.17062937062936
2026-06,55,Омская область,1652,400,59039.14,3838428.9322,65.01498721356714,35.73797820823245,2323.5041962469736,Июнь,341,149,Омская область,15333,515,511.1,667.188417139503,115.51387204069653
2026-06,63,Самарская область,1178,381,42606.65,2849941.7819,66.88960014223132,36.16863327674024,2419.305417572156,Июнь,268,146,Самарская область,15720,525,524.0,511.4503816793893,81.31040076335879
2026-06,66,Свердловская область,7064,1865,249777.85,17281291.0874,69.18664360110394,35.35926528878822,2446.3888855322766,Июнь,1174,636,Свердловская область,74286,2498,2476.2,474.1135611016881,100.87143607139974
2026-06,72,Тюменская область,1390,364,49172.44,3397674.1001,69.09712229248741,35.375856115107915,2444.36985618705,Июнь,251,120,Тюменская область,14054,471,468.46666666666664,535.7905222712395,104.96465063327167
2026-06,74,Челябинская область,4438,1134,151354.96,10000379.8754,66.0723631085496,34.10431726002704,2253.352833573682,Июнь,470,286,Челябинская область,42127,1415,1404.2333333333333,334.7022099840957,107.78476511500936
2026-06,77,Москва,12523,3863,489096.22,35726100.1022,73.04513639913226,39.055834863850514,2852.838784811946,Июнь,5490,1922,Москва,152788,5119,5092.933333333333,1077.9642380291646,96.03428672408828
2026-06,78,Санкт-Петербург,8649,2394,324150.72,23467846.9048,72.39794779662992,37.47840443981963,2713.359568135045,Июнь,2067,891,Санкт-Петербург,92098,3100,3069.9333333333334,673.30452344242,105.58884666333687
2026-07,02,Республика Башкортостан,307,100,10234.4,646110.6606000001,63.131269112014394,33.33680781758957,2104.5949856677526,Июль,150,70,Республика Башкортостан,9227,298,297.64516129032256,503.95578194429396,34.38456703153788
2026-07,16,Республика Татарстан,3430,1097,111630.91,7491545.7775,67.1099588590651,32.54545481049563,2184.1241333819244,Июль,1136,543,Республика Татарстан,58283,1890,1880.0967741935483,604.2242163237994,59.375087246710024
2026-07,23,Краснодарский край,1483,375,46826.96,3405578.7446,72.72688093781872,31.575832771409306,2296.4118304787594,Июль,289,127,Краснодарский край,21960,714,708.3870967741935,407.9690346083789,66.1036320582878
2026-07,24,Красноярский край,2152,529,67038.09999999999,4732698.4764,70.59714515178683,31.151533457249066,2199.209329182156,Июль,291,166,Красноярский край,23740,770,765.8064516129032,379.99157540016853,87.53922072451557
2026-07,42,Кемеровская область,2247,494,70149.14,4850819.4092,69.150090923424,31.219020916777925,2158.7981349354695,Июль,335,153,Кемеровская область,20954,682,675.9354838709677,495.6094301803952,103.78082180013364
2026-07,47,Ленинградская область,2237,554,69214.61,4952491.0965,71.55268369640456,30.940818059901655,2213.898567948145,Июль,567,250,Ленинградская область,27492,892,886.8387096774194,639.3496289829768,78.04644660264805
2026-07,50,Московская область,8824,2206,274998.19,19732896.3503,71.75645901633025,31.164799410698098,2236.275651665911,Июль,2642,1097,Московская область,106970,3472,3450.6451612903224,765.6539216602786,79.69471711694868
2026-07,52,Нижегородская область,2945,889,93067.23999999999,6578821.927,70.68891187704719,31.60177928692699,2233.895391171477,Июль,602,336,Нижегородская область,45975,1498,1483.0645161290322,405.9162588363241,62.75333202827623
2026-07,54,Новосибирская область,3206,883,100337.59999999999,7052647.2293,70.28917603470683,31.296818465377413,2199.8275824391767,Июль,702,323,Новосибирская область,37594,1221,1212.7096774193549,578.8689684524126,82.73835186465925
2026-07,55,Омская область,1534,371,47389.22,3110694.4898,65.64139459986892,30.892581486310302,2027.8321315514995,Июль,230,118,Омская область,16085,523,518.8709677419355,443.27012744793285,91.33141560460056
2026-07,63,Самарская область,711,217,23368.11,1554374.8898,66.51692797577553,32.866540084388184,2186.1812796061886,Июль,332,168,Самарская область,16358,532,527.6774193548387,629.1722704487102,44.28483983372051
2026-07,66,Свердловская область,7147,1867,223491.82,15535414.751600001,69.51222980599469,31.270717783685463,2173.697320777949,Июль,1336,713,Свердловская область,78029,2536,2517.064516129032,530.7770188007023,88.79066013917902
2026-07,72,Тюменская область,1098,296,34789.77,2396690.7765,68.89067609530044,31.684672131147536,2182.7784849726777,Июль,221,103,Тюменская область,14728,480,475.0967741935484,465.1683867463335,73.22670219989135
2026-07,74,Челябинская область,3735,1026,117597.52,7789164.5465,66.23578921137113,31.485279785809908,2085.452355153949,Июль,408,238,Челябинская область,44135,1431,1423.7096774193549,286.5752803897134,82.59936830180129
2026-07,77,Москва,13452,3525,419961.36,30570351.3136,72.7932477254574,31.219250669045493,2272.5506477549807,Июль,4974,1843,Москва,159705,5183,5151.774193548387,965.4926270310885,81.51781196581196
2026-07,78,Санкт-Петербург,7753,1921,239045.43,17273208.717,72.25910454343344,30.83263639881336,2227.938696891526,Июль,1920,882,Санкт-Петербург,96762,3142,3121.3548387096776,615.1175048056054,76.58386897749116
2026-08,02,Республика Башкортостан,276,100,10065.74,666436.6841,66.20841429442842,36.47007246376811,2414.6256670289854,Август,127,68,Республика Башкортостан,9291,300,299.7096774193548,423.7434075987515,33.58496824884297
2026-08,16,Республика Татарстан,2973,930,110202.89,7615917.014,69.10814239082116,37.06790783720148,2561.6942529431553,Август,1110,541,Республика Татарстан,58905,1906,1900.1612903225807,584.1609371021135,57.99659774212715
2026-08,23,Краснодарский край,1002,315,37295.11,2712959.6838,72.74304014118742,37.220668662674655,2707.544594610779,Август,119,74,Краснодарский край,22264,723,718.1935483870968,165.69349622709305,51.92905183255479
2026-08,24,Красноярский край,2307,563,78163.39,5565971.115,71.20943852358502,33.880966623320326,2412.644609882965,Август,234,132,Красноярский край,23943,776,772.3548387096774,302.9695526876331,101.201398738671
2026-08,42,Кемеровская область,2146,518,74770.87,5226575.7778,69.90122995492764,34.841971109040074,2435.4966345759553,Август,281,152,Кемеровская область,21271,689,686.1612903225806,409.52470499741435,108.96981665177941
2026-08,47,Ленинградская область,2231,567,76612.99,5524187.6734,72.10510480533392,34.34020170327208,2476.1038428507395,Август,443,245,Ленинградская область,27953,911,901.7096774193549,491.2889493077666,84.9641430257933
2026-08,50,Московская область,7550,2203,268927.18,19759564.6051,73.47552079005179,35.6194940397351,2617.160874847682,Август,1384,756,Московская область,108183,3504,3489.7741935483873,396.5872641727443,77.06148452159766
2026-08,52,Нижегородская область,3325,948,117271.52,8316294.1083,70.91486584551816,35.26963007518797,2501.1410852030076,Август,520,297,Нижегородская область,46661,1512,1505.1935483870968,345.47052142045817,77.91125608109556
2026-08,54,Новосибирская область,4072,990,136549.72,9581330.6994,70.16734050717936,33.53382121807466,2352.979051915521,Август,689,319,Новосибирская область,38014,1233,1226.258064516129,561.8719419161362,111.35479875835219
2026-08,55,Омская область,1543,387,53739.63,3545785.9077,65.9808396094279,34.82801685029164,2297.981793713545,Август,201,101,Омская область,16385,534,528.5483870967741,380.2868477265792,101.67400244125726
2026-08,63,Самарская область,695,215,24750.88,1841476.2376,74.40043495827219,35.612776978417266,2649.606097266187,Август,244,135,Самарская область,16552,536,533.9354838709677,456.98405026582896,46.35556307394877
2026-08,66,Свердловская область,7368,1897,257833.63,18000735.2791,69.81531183150933,34.9937065689468,2443.0965362513575,Август,1225,642,Свердловская область,79220,2570,2555.483870967742,479.36127240595806,100.89425056803837
2026-08,72,Тюменская область,1183,320,41068.03,2883827.4091,70.22073883505003,34.715156382079456,2437.7239299239222,Август,144,78,Тюменская область,15005,488,484.03225806451616,297.5008330556481,84.84564678440519
2026-08,74,Челябинская область,3224,916,111360.78,7542117.9565,67.72687795918814,34.541184863523576,2339.366611817618,Август,345,214,Челябинская область,44638,1451,1439.9354838709678,239.5940678345804,77.33733993458488
2026-08,77,Москва,12222,3569,438343.14999999997,32340421.3113,73.77877653911096,35.86509163802978,2646.0825815169364,Август,1795,980,Москва,161696,5239,5216.0,344.1334355828221,84.0381805981595
2026-08,78,Санкт-Петербург,8554,2150,305477.88,22404678.6946,73.34304760331582,35.71169978957213,2619.2048976619126,Август,1630,801,Санкт-Петербург,97951,3175,3159.7096774193546,515.8701799879532,96.67909750793766
