sale_month,region_code,region_name,sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub,month_name
2026-05,47,Ленинградская область,2839,715,107089.68,7566928.6294,70.65973704842521,37.720915815427965,2665.349992743924,Май
2026-05,50,Московская область,11839,2812,470499.37,32896118.1101,69.91745410859956,39.74147901005153,2778.62303489315,Май
2026-05,52,Нижегородская область,4685,1193,171730.41999999998,11790830.646300001,68.65895189856289,36.655372465314834,2516.7194549199576,Май
2026-05,54,Новосибирская область,3693,954,140416.25,9557080.803,68.06249848575217,38.02227186569185,2587.890821283509,Май
2026-05,55,Омская область,1681,423,61657.39,3948201.9723,64.03452971817327,36.67899464604402,2348.7221726948246,Май
2026-05,63,Самарская область,1962,439,70803.58,4645781.6921,65.61506765759584,36.087451580020385,2367.8805770132517,Май
2026-05,66,Свердловская область,7650,1920,266873.11,18237421.128200002,68.33742495900019,34.88537385620915,2383.9766180653596,Май
2026-05,72,Тюменская область,1456,375,53450.81,3671046.0711,68.68083142425718,36.71072115384615,2521.3228510302197,Май
2026-05,74,Челябинская область,4735,1147,164317.68,10679465.7218,64.99279762104723,34.702783526927135,2255.430986652587,Май
2026-05,77,Москва,16619,4186,676483.17,48808335.084,72.15010993399879,40.70540766592455,2936.8996380046933,Май
2026-05,78,Санкт-Петербург,8898,2454,346373.02,24871215.6788,71.80471411659026,38.9270645088784,2795.1467384580806,Май
2026-06,02,Республика Башкортостан,512,171,18147.46,1161613.6748,64.00971126537819,35.4442578125,2268.77670859375,Июнь
2026-06,16,Республика Татарстан,5545,1451,193363.16,12797927.029099999,66.18596339188912,34.87162488728585,2308.0120882055903,Июнь
2026-06,23,Краснодарский край,1770,505,66307.65,4727044.5536,71.28958051748178,37.46194915254237,2670.6466404519774,Июнь
2026-06,24,Красноярский край,2107,548,76862.66,5477807.6128,71.26747386572362,36.47966777408638,2599.8137697199813,Июнь
2026-06,42,Кемеровская область,2291,546,83287.63,5694801.1195,68.37511308101816,36.35426887821912,2485.7272455259713,Июнь
2026-06,47,Ленинградская область,2456,670,89962.17,6421841.2949,71.3837971549597,36.629548045602604,2614.7562275651467,Июнь
2026-06,50,Московская область,8881,2561,344821.55,24569617.1509,71.2531370237736,38.826883233870056,2766.537231269001,Июнь
2026-06,52,Нижегородская область,3855,1113,138720.52,9629914.4942,69.41953861043774,35.98457068741893,2498.032294215305,Июнь
2026-06,54,Новосибирская область,3909,941,146191.22,10157137.3358,69.4784360907584,37.398623688922996,2598.397885853159,Июнь
2026-06,55,Омская область,1652,400,59039.14,3838428.9322,65.01498721356714,35.73797820823245,2323.5041962469736,Июнь
2026-06,63,Самарская область,1178,381,42606.65,2849941.7819,66.88960014223132,36.16863327674024,2419.305417572156,Июнь
2026-06,66,Свердловская область,7064,1865,249777.85,17281291.0874,69.18664360110394,35.35926528878822,2446.3888855322766,Июнь
2026-06,72,Тюменская область,1390,364,49172.44,3397674.1001,69.09712229248741,35.375856115107915,2444.36985618705,Июнь
2026-06,74,Челябинская область,4438,1134,151354.96,10000379.8754,66.0723631085496,34.10431726002704,2253.352833573682,Июнь
2026-06,77,Москва,12523,3863,489096.22,35726100.1022,73.04513639913226,39.055834863850514,2852.838784811946,Июнь
2026-06,78,Санкт-Петербург,8649,2394,324150.72,23467846.9048,72.39794779662992,37.47840443981963,2713.359568135045,Июнь
2026-07,02,Республика Башкортостан,307,100,10234.4,646110.6606000001,63.131269112014394,33.33680781758957,2104.5949856677526,Июль
2026-07,16,Республика Татарстан,3430,1097,111630.91,7491545.7775,67.1099588590651,32.54545481049563,2184.1241333819244,Июль
2026-07,23,Краснодарский край,1483,375,46826.96,3405578.7446,72.72688093781872,31.575832771409306,2296.4118304787594,Июль
2026-07,24,Красноярский край,2152,529,67038.09999999999,4732698.4764,70.59714515178683,31.151533457249066,2199.209329182156,Июль
2026-07,42,Кемеровская область,2247,494,70149.14,4850819.4092,69.150090923424,31.219020916777925,2158.7981349354695,Июль
2026-07,47,Ленинградская область,2237,554,69214.61,4952491.0965,71.55268369640456,30.940818059901655,2213.898567948145,Июль
2026-07,50,Московская область,8824,2206,274998.19,19732896.3503,71.75645901633025,31.164799410698098,2236.275651665911,Июль
2026-07,52,Нижегородская область,2945,889,93067.23999999999,6578821.927,70.68891187704719,31.60177928692699,2233.895391171477,Июль
2026-07,54,Новосибирская область,3206,883,100337.59999999999,7052647.2293,70.28917603470683,31.296818465377413,2199.8275824391767,Июль
2026-07,55,Омская область,1534,371,47389.22,3110694.4898,65.64139459986892,30.892581486310302,2027.8321315514995,Июль
2026-07,63,Самарская область,711,217,23368.11,1554374.8898,66.51692797577553,32.866540084388184,2186.1812796061886,Июль
2026-07,66,Свердловская область,7147,1867,223491.82,15535414.751600001,69.51222980599469,31.270717783685463,2173.697320777949,Июль
2026-07,72,Тюменская область,1098,296,34789.77,2396690.7765,68.89067609530044,31.684672131147536,2182.7784849726777,Июль
2026-07,74,Челябинская область,3735,1026,117597.52,7789164.5465,66.23578921137113,31.485279785809908,2085.452355153949,Июль
2026-07,77,Москва,13452,3525,419961.36,30570351.3136,72.7932477254574,31.219250669045493,2272.5506477549807,Июль
2026-07,78,Санкт-Петербург,7753,1921,239045.43,17273208.717,72.25910454343344,30.83263639881336,2227.938696891526,Июль
2026-08,02,Республика Башкортостан,276,100,10065.74,666436.6841,66.20841429442842,36.47007246376811,2414.6256670289854,Август
2026-08,16,Республика Татарстан,2973,930,110202.89,7615917.014,69.10814239082116,37.06790783720148,2561.6942529431553,Август
2026-08,23,Краснодарский край,1002,315,37295.11,2712959.6838,72.74304014118742,37.220668662674655,2707.544594610779,Август
2026-08,24,Красноярский край,2307,563,78163.39,5565971.115,71.20943852358502,33.880966623320326,2412.644609882965,Август
2026-08,42,Кемеровская область,2146,518,74770.87,5226575.7778,69.90122995492764,34.841971109040074,2435.4966345759553,Август
2026-08,47,Ленинградская область,2231,567,76612.99,5524187.6734,72.10510480533392,34.34020170327208,2476.1038428507395,Август
2026-08,50,Московская область,7550,2203,268927.18,19759564.6051,73.47552079005179,35.6194940397351,2617.160874847682,Август
2026-08,52,Нижегородская область,3325,948,117271.52,8316294.1083,70.91486584551816,35.26963007518797,2501.1410852030076,Август
2026-08,54,Новосибирская область,4072,990,136549.72,9581330.6994,70.16734050717936,33.53382121807466,2352.979051915521,Август
2026-08,55,Омская область,1543,387,53739.63,3545785.9077,65.9808396094279,34.82801685029164,2297.981793713545,Август
2026-08,63,Самарская область,695,215,24750.88,1841476.2376,74.40043495827219,35.612776978417266,2649.606097266187,Август
2026-08,66,Свердловская область,7368,1897,257833.63,18000735.2791,69.81531183150933,34.9937065689468,2443.0965362513575,Август
2026-08,72,Тюменская область,1183,320,41068.03,2883827.4091,70.22073883505003,34.715156382079456,2437.7239299239222,Август
2026-08,74,Челябинская область,3224,916,111360.78,7542117.9565,67.72687795918814,34.541184863523576,2339.366611817618,Август
2026-08,77,Москва,12222,3569,438343.14999999997,32340421.3113,73.77877653911096,35.86509163802978,2646.0825815169364,Август
2026-08,78,Санкт-Петербург,8554,2150,305477.88,22404678.6946,73.34304760331582,35.71169978957213,2619.2048976619126,Август
