sale_month,region_code,region_name,sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub
2026-06,23,Краснодарский край,1770,505,66307.65,4727044.5536,71.28958051748178,37.46194915254237,2670.6466404519774
2026-06,24,Красноярский край,2107,548,76862.66,5477807.6128,71.26747386572362,36.47966777408638,2599.8137697199813
2026-06,42,Кемеровская область,2291,546,83287.63,5694801.1195,68.37511308101816,36.35426887821912,2485.7272455259713
2026-06,47,Ленинградская область,2456,670,89962.17,6421841.2949,71.3837971549597,36.629548045602604,2614.7562275651467
2026-06,50,Московская область,8881,2561,344821.55,24569617.1509,71.2531370237736,38.826883233870056,2766.537231269001
2026-06,52,Нижегородская область,3855,1113,138720.52,9629914.4942,69.41953861043774,35.98457068741893,2498.032294215305
2026-06,54,Новосибирская область,3909,941,146191.22,10157137.3358,69.4784360907584,37.398623688922996,2598.397885853159
2026-06,55,Омская область,1652,400,59039.14,3838428.9322,65.01498721356714,35.73797820823245,2323.5041962469736
2026-06,63,Самарская область,1178,381,42606.65,2849941.7819,66.88960014223132,36.16863327674024,2419.305417572156
2026-06,66,Свердловская область,7064,1865,249777.85,17281291.0874,69.18664360110394,35.35926528878822,2446.3888855322766
2026-06,72,Тюменская область,1390,364,49172.44,3397674.1001,69.09712229248741,35.375856115107915,2444.36985618705
2026-06,74,Челябинская область,4438,1134,151354.96,10000379.8754,66.0723631085496,34.10431726002704,2253.352833573682
2026-06,77,Москва,12523,3863,489096.22,35726100.1022,73.04513639913226,39.055834863850514,2852.838784811946
2026-06,78,Санкт-Петербург,8649,2394,324150.72,23467846.9048,72.39794779662992,37.47840443981963,2713.359568135045
2026-07,02,Республика Башкортостан,307,100,10234.4,646110.6606000001,63.131269112014394,33.33680781758957,2104.5949856677526
2026-07,16,Республика Татарстан,3430,1097,111630.91,7491545.7775,67.1099588590651,32.54545481049563,2184.1241333819244
2026-07,23,Краснодарский край,1483,375,46826.96,3405578.7446,72.72688093781872,31.575832771409306,2296.4118304787594
2026-07,24,Красноярский край,2152,529,67038.09999999999,4732698.4764,70.59714515178683,31.151533457249066,2199.209329182156
2026-07,42,Кемеровская область,2247,494,70149.14,4850819.4092,69.150090923424,31.219020916777925,2158.7981349354695
2026-07,47,Ленинградская область,2237,554,69214.61,4952491.0965,71.55268369640456,30.940818059901655,2213.898567948145
2026-07,50,Московская область,8824,2206,274998.19,19732896.3503,71.75645901633025,31.164799410698098,2236.275651665911
2026-07,52,Нижегородская область,2945,889,93067.23999999999,6578821.927,70.68891187704719,31.60177928692699,2233.895391171477
2026-07,54,Новосибирская область,3206,883,100337.59999999999,7052647.2293,70.28917603470683,31.296818465377413,2199.8275824391767
2026-07,55,Омская область,1534,371,47389.22,3110694.4898,65.64139459986892,30.892581486310302,2027.8321315514995
2026-07,63,Самарская область,711,217,23368.11,1554374.8898,66.51692797577553,32.866540084388184,2186.1812796061886
2026-07,66,Свердловская область,7147,1867,223491.82,15535414.751600001,69.51222980599469,31.270717783685463,2173.697320777949
2026-07,72,Тюменская область,1098,296,34789.77,2396690.7765,68.89067609530044,31.684672131147536,2182.7784849726777
2026-07,74,Челябинская область,3735,1026,117597.52,7789164.5465,66.23578921137113,31.485279785809908,2085.452355153949
2026-07,77,Москва,13452,3525,419961.36,30570351.3136,72.7932477254574,31.219250669045493,2272.5506477549807
2026-07,78,Санкт-Петербург,7753,1921,239045.43,17273208.717,72.25910454343344,30.83263639881336,2227.938696891526
2026-08,02,Республика Башкортостан,276,100,10065.74,666436.6841,66.20841429442842,36.47007246376811,2414.6256670289854
2026-08,16,Республика Татарстан,2973,930,110202.89,7615917.014,69.10814239082116,37.06790783720148,2561.6942529431553
2026-08,23,Краснодарский край,1002,315,37295.11,2712959.6838,72.74304014118742,37.220668662674655,2707.544594610779
2026-08,24,Красноярский край,2307,563,78163.39,5565971.115,71.20943852358502,33.880966623320326,2412.644609882965
2026-08,42,Кемеровская область,2146,518,74770.87,5226575.7778,69.90122995492764,34.841971109040074,2435.4966345759553
2026-08,47,Ленинградская область,2231,567,76612.99,5524187.6734,72.10510480533392,34.34020170327208,2476.1038428507395
2026-08,50,Московская область,7550,2203,268927.18,19759564.6051,73.47552079005179,35.6194940397351,2617.160874847682
2026-08,52,Нижегородская область,3325,948,117271.52,8316294.1083,70.91486584551816,35.26963007518797,2501.1410852030076
2026-08,54,Новосибирская область,4072,990,136549.72,9581330.6994,70.16734050717936,33.53382121807466,2352.979051915521
2026-08,55,Омская область,1543,387,53739.63,3545785.9077,65.9808396094279,34.82801685029164,2297.981793713545
2026-08,63,Самарская область,695,215,24750.88,1841476.2376,74.40043495827219,35.612776978417266,2649.606097266187
2026-08,66,Свердловская область,7368,1897,257833.63,18000735.2791,69.81531183150933,34.9937065689468,2443.0965362513575
2026-08,72,Тюменская область,1183,320,41068.03,2883827.4091,70.22073883505003,34.715156382079456,2437.7239299239222
2026-08,74,Челябинская область,3224,916,111360.78,7542117.9565,67.72687795918814,34.541184863523576,2339.366611817618
2026-08,77,Москва,12222,3569,438343.14999999997,32340421.3113,73.77877653911096,35.86509163802978,2646.0825815169364
2026-08,78,Санкт-Петербург,8554,2150,305477.88,22404678.6946,73.34304760331582,35.71169978957213,2619.2048976619126
2026-09,02,Республика Башкортостан,31,23,1177.6,84696.7462,71.92318800951087,37.987096774193546,2732.1531032258063
2026-09,16,Республика Татарстан,361,283,13306.27,936660.5757,70.39242219645325,36.85947368421053,2594.6276335180055
2026-09,23,Краснодарский край,97,63,3864.71,284242.1886,73.54812873410941,39.84237113402062,2930.331841237113
2026-09,24,Красноярский край,272,213,9454.35,694915.3079,73.50217708250699,34.75863970588235,2554.8356908088235
2026-09,42,Кемеровская область,228,183,7969.24,558906.3293,70.1329523643409,34.95280701754386,2451.3435495614035
2026-09,47,Ленинградская область,243,200,8451.5,614190.6842,72.67238764716323,34.7798353909465,2527.533679835391
2026-09,50,Московская область,853,672,29754.59,2154168.1622,72.39784390240297,34.88228604923798,2525.4023003517
2026-09,52,Нижегородская область,367,290,12842.82,911874.4031,71.00266165063437,34.994059945504084,2484.671398092643
2026-09,54,Новосибирская область,501,387,16676.38,1159175.7088,69.51003208130301,33.286187624750504,2313.7239696606784
2026-09,55,Омская область,193,146,6668.3099999999995,434108.6512,65.10025046825959,34.55082901554404,2249.2676227979277
2026-09,63,Самарская область,93,79,3251.46,244211.8204,75.10835759935536,34.96193548387097,2625.933552688172
2026-09,66,Свердловская область,885,524,33409.0,2350141.4502,70.34456135173157,37.75028248587571,2655.527062372881
2026-09,72,Тюменская область,137,100,4861.0,374967.0368,77.13783929232669,35.481751824817515,2736.985670072993
2026-09,74,Челябинская область,351,246,13133.93,914904.7643,69.65963457243947,37.41860398860399,2606.5662800569803
2026-09,77,Москва,1290,1019,45630.44,3311061.1686,72.56255185354338,35.37243410852713,2566.7140841860464
2026-09,78,Санкт-Петербург,824,670,29004.55,2141097.9753,73.81938265892765,35.199696601941746,2598.419872936893
